client_id,client_wise_id,status,filter_applied,message,occurred_at
7054179,114,filter_not_found,Form Initiated,"Checkbox #u_form_initiated not visible for ""Form Initiated""",21-04-2026 15:30:36
7054179,114,filter_not_found,Paid Apps,"Checkbox #u_payment_approved not visible for ""Paid Applications""",21-04-2026 15:30:38
7054179,114,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:30:40
7054075,115,filter_not_found,Form Initiated,"Checkbox #u_form_initiated not visible for ""Form Initiated""",21-04-2026 15:30:57
7054075,115,filter_not_found,Paid Apps,"Checkbox #u_payment_approved not visible for ""Paid Applications""",21-04-2026 15:30:59
7054075,115,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:31:01
7050168,15,metrics_not_found,None,"[LEAD VIEW] NPF summary API response not captured for ""None""",21-04-2026 15:31:04
7050168,15,filter_not_found,Form Initiated,"Checkbox #u_form_initiated not visible for ""Form Initiated""",21-04-2026 15:31:05
7050168,15,filter_not_found,Paid Apps,"Checkbox #u_payment_approved not visible for ""Paid Applications""",21-04-2026 15:31:06
7050168,15,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:31:08
7043350,193,filter_not_found,Form Initiated,"Checkbox #u_form_initiated not visible for ""Form Initiated""",21-04-2026 15:31:09
7043350,193,filter_not_found,Paid Apps,"Checkbox #u_payment_approved not visible for ""Paid Applications""",21-04-2026 15:31:11
7043350,193,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:31:12
7042605,55,filter_not_found,None,"client_not_in_dropdown: Filter[1/2] giving up (name=Client Name): NPF dropdown option not found for ""ITM University, Raipur"" (name=Client Name)",21-04-2026 15:31:15
7054182,116,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:31:30
7022523,99,filter_not_found,None,"client_not_in_dropdown: Filter[1/2] giving up (name=Client Name): NPF dropdown option not found for ""SPJIMR GMP"" (name=Client Name)",21-04-2026 15:31:36
7044103,194,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:31:41
7050982,117,filter_not_found,Form Initiated,"Checkbox #u_form_initiated not visible for ""Form Initiated""",21-04-2026 15:31:47
7050982,117,filter_not_found,Paid Apps,"Checkbox #u_payment_approved not visible for ""Paid Applications""",21-04-2026 15:31:49
7050982,117,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:31:51
7500042,230,filter_not_found,None,"client_not_in_dropdown: Filter[1/2] giving up (name=Client Name): NPF dropdown option not found for ""NMAT By GMAC"" (name=Client Name)",21-04-2026 15:31:57
7030030,195,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:32:14
7022524,231,filter_not_found,None,"client_not_in_dropdown: Filter[1/2] giving up (name=Client Name): NPF dropdown option not found for ""SPJIMR PGPM"" (name=Client Name)",21-04-2026 15:32:18
7033115,196,filter_not_found,Form Initiated,"Checkbox #u_form_initiated not visible for ""Form Initiated""",21-04-2026 15:32:29
7033115,196,filter_not_found,Paid Apps,"Checkbox #u_payment_approved not visible for ""Paid Applications""",21-04-2026 15:32:31
7033115,196,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:32:33
7030296,18,filter_not_found,Form Initiated,"Checkbox #u_form_initiated not visible for ""Form Initiated""",21-04-2026 15:32:31
7030296,18,filter_not_found,Paid Apps,"Checkbox #u_payment_approved not visible for ""Paid Applications""",21-04-2026 15:32:33
7030296,18,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:32:35
7050712,232,filter_not_found,None,"client_not_in_dropdown: Filter[1/2] giving up (name=Client Name): NPF dropdown option not found for ""IPS Business School"" (name=Client Name)",21-04-2026 15:32:39
7052298,120,filter_not_found,None,"client_not_in_dropdown: Filter[1/2] giving up (name=Client Name): NPF dropdown option not found for ""CII - INSTITUTE OF HOSPITALITY"" (name=Client Name)",21-04-2026 15:32:47
7042756,234,filter_not_found,None,"client_not_in_dropdown: Filter[1/2] giving up (name=Client Name): NPF dropdown option not found for ""Maharishi Markandeshwar Deemed to be University"" (name=Client Name)",21-04-2026 15:33:00
7042257,19,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:33:05
7053534,121,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:33:15
7008672,236,filter_not_found,None,"client_not_in_dropdown: Filter[1/2] giving up (name=Client Name): NPF dropdown option not found for ""Kalinga Institute of Industrial technology"" (name=Client Name)",21-04-2026 15:33:21
7053540,237,filter_not_found,None,"client_not_in_dropdown: Filter[1/2] giving up (name=Client Name): NPF dropdown option not found for ""KIIT School of Leadership"" (name=Client Name)",21-04-2026 15:33:42
7042489,122,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:33:48
7029481,199,filter_not_found,Form Initiated,"Checkbox #u_form_initiated not visible for ""Form Initiated""",21-04-2026 15:33:59
7029481,199,filter_not_found,Paid Apps,"Checkbox #u_payment_approved not visible for ""Paid Applications""",21-04-2026 15:34:01
7029481,199,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:34:03
7050153,238,filter_not_found,None,"client_not_in_dropdown: Filter[1/2] giving up (name=Client Name): NPF dropdown option not found for ""GEMS Bangalore"" (name=Client Name)",21-04-2026 15:34:03
7032946,21,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:34:10
7042407,200,filter_not_found,Form Initiated,"Checkbox #u_form_initiated not visible for ""Form Initiated""",21-04-2026 15:34:19
7042407,200,filter_not_found,Paid Apps,"Checkbox #u_payment_approved not visible for ""Paid Applications""",21-04-2026 15:34:20
7042407,200,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:34:22
7050612,244,filter_not_found,None,"client_not_in_dropdown: Filter[1/2] giving up (name=Client Name): NPF dropdown option not found for ""Mangalmay Group of Institutions"" (name=Client Name)",21-04-2026 15:34:24
7035931,201,filter_not_found,Form Initiated,"Checkbox #u_form_initiated not visible for ""Form Initiated""",21-04-2026 15:34:38
7035931,201,filter_not_found,Paid Apps,"Checkbox #u_payment_approved not visible for ""Paid Applications""",21-04-2026 15:34:40
7035931,201,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:34:42
7053538,245,filter_not_found,None,"client_not_in_dropdown: Filter[1/2] giving up (name=Client Name): NPF dropdown option not found for ""Dnyaan Prasad Global University"" (name=Client Name)",21-04-2026 15:34:45
7053536,246,filter_not_found,None,"client_not_in_dropdown: Filter[1/2] giving up (name=Client Name): NPF dropdown option not found for ""Dnyaan Prasad Global University"" (name=Client Name)",21-04-2026 15:35:06
7009020,124,filter_not_found,Form Initiated,"Checkbox #u_form_initiated not visible for ""Form Initiated""",21-04-2026 15:35:08
7009020,124,filter_not_found,Paid Apps,"Checkbox #u_payment_approved not visible for ""Paid Applications""",21-04-2026 15:35:10
7009020,124,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:35:12
7053533,247,filter_not_found,None,"client_not_in_dropdown: Filter[1/2] giving up (name=Client Name): NPF dropdown option not found for ""Dnyaan Prasad Global University"" (name=Client Name)",21-04-2026 15:35:27
7017335,125,filter_not_found,None,"client_not_in_dropdown: Filter[1/2] giving up (name=Client Name): NPF dropdown option not found for ""NSHM Knowledge Campus, Kolkata"" (name=Client Name)",21-04-2026 15:35:34
7042325,24,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:35:48
7053537,248,filter_not_found,None,"client_not_in_dropdown: Filter[1/2] giving up (name=Client Name): NPF dropdown option not found for ""Dnyaan Prasad Global University"" (name=Client Name)",21-04-2026 15:35:48
7017553,126,filter_not_found,Form Initiated,"Checkbox #u_form_initiated not visible for ""Form Initiated""",21-04-2026 15:35:49
7017553,126,filter_not_found,Paid Apps,"Checkbox #u_payment_approved not visible for ""Paid Applications""",21-04-2026 15:35:51
7017553,126,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:35:52
7053843,250,filter_not_found,None,"client_not_in_dropdown: Filter[1/2] giving up (name=Client Name): NPF dropdown option not found for ""CPJ Institute of Management & Technology"" (name=Client Name)",21-04-2026 15:36:09
7034181,25,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:36:16
7014402,204,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:36:19
7053994,127,filter_not_found,Paid Apps,"Checkbox #u_payment_approved not visible for ""Paid Applications""",21-04-2026 15:36:17
7053994,127,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:36:20
7021696,258,filter_not_found,None,"client_not_in_dropdown: Filter[1/2] giving up (name=Client Name): NPF dropdown option not found for ""RIIM"" (name=Client Name)",21-04-2026 15:36:31
7030110,260,filter_not_found,None,"client_not_in_dropdown: Filter[1/2] giving up (name=Client Name): NPF dropdown option not found for ""Artemisia College of Art & Design"" (name=Client Name)",21-04-2026 15:36:55
7025055,128,filter_not_found,Form Initiated,"Checkbox #u_form_initiated not visible for ""Form Initiated""",21-04-2026 15:37:01
7025055,128,filter_not_found,Paid Apps,"Checkbox #u_payment_approved not visible for ""Paid Applications""",21-04-2026 15:37:03
7025055,128,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:37:05
7051255,206,filter_not_found,Form Initiated,"Checkbox #u_form_initiated not visible for ""Form Initiated""",21-04-2026 15:37:08
7051255,206,filter_not_found,Paid Apps,"Checkbox #u_payment_approved not visible for ""Paid Applications""",21-04-2026 15:37:10
7051255,206,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:37:11
7021387,261,filter_not_found,None,"client_not_in_dropdown: Filter[1/2] giving up (name=Client Name): NPF dropdown option not found for ""Rathinam Group Of Institution"" (name=Client Name)",21-04-2026 15:37:16
7043008,129,filter_not_found,Form Initiated,"Checkbox #u_form_initiated not visible for ""Form Initiated""",21-04-2026 15:37:20
7043008,129,filter_not_found,Paid Apps,"Checkbox #u_payment_approved not visible for ""Paid Applications""",21-04-2026 15:37:22
7043008,129,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:37:24
7053041,207,filter_not_found,Form Initiated,"Checkbox #u_form_initiated not visible for ""Form Initiated""",21-04-2026 15:37:29
7053041,207,filter_not_found,Paid Apps,"Checkbox #u_payment_approved not visible for ""Paid Applications""",21-04-2026 15:37:31
7053041,207,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:37:33
7051155,264,filter_not_found,None,"client_not_in_dropdown: Filter[1/2] giving up (name=Client Name): NPF dropdown option not found for ""Arya College of Engineering"" (name=Client Name)",21-04-2026 15:37:37
7043111,130,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:37:56
7010549,265,filter_not_found,None,"client_not_in_dropdown: Filter[1/2] giving up (name=Client Name): NPF dropdown option not found for ""Global Institute of Technology and Management"" (name=Client Name)",21-04-2026 15:37:59
7008676,266,filter_not_found,None,"client_not_in_dropdown: Filter[1/2] giving up (name=Client Name): NPF dropdown option not found for ""Kalinga Institute of Industrial technology"" (name=Client Name)",21-04-2026 15:38:20
7043148,131,filter_not_found,None,"client_not_in_dropdown: Filter[2/2] giving up (name=Source): NPF dropdown option not found for ""Kollegeapply"" (name=Source)",21-04-2026 15:38:24
7037935,30,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:38:57
7005714,209,metrics_not_found,None,"[LEAD VIEW] NPF summary API response not captured for ""None""",21-04-2026 15:39:19
7005714,209,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:39:36
7037963,31,filter_not_found,Enrolment Status,"Checkbox #u_enrollment_status not visible for ""Enrolment Status""",21-04-2026 15:39:40
7007440,210,filter_not_found,Form Initiated,"Checkbox #u_form_initiated not visible for ""Form Initiated""",21-04-2026 15:39:51
