client_id,client_wise_id,status,filter_applied,message,occurred_at
7050168,15,filter_not_found,Form Initiated,"[LEAD VIEW] Filter not available/applied for ""Form Initiated""",14-04-2026 17:07:15
7050168,15,filter_not_found,Paid Apps,"[LEAD VIEW] Filter not available/applied for ""Paid Apps""",14-04-2026 17:07:17
7050168,15,filter_not_found,Enrolment Status,"[LEAD VIEW] Filter not available/applied for ""Enrolment Status""",14-04-2026 17:07:19
7054179,114,metrics_not_found,None,"[LEAD VIEW] Metrics cards not found for ""None""",14-04-2026 17:08:15
7054179,114,filter_not_found,Form Initiated,"[LEAD VIEW] Filter not available/applied for ""Form Initiated""",14-04-2026 17:08:16
7054179,114,filter_not_found,Paid Apps,"[LEAD VIEW] Filter not available/applied for ""Paid Apps""",14-04-2026 17:08:17
7054179,114,filter_not_found,Enrolment Status,"[LEAD VIEW] Filter not available/applied for ""Enrolment Status""",14-04-2026 17:08:18
7054075,115,metrics_not_found,None,"[LEAD VIEW] Metrics cards not found for ""None""",14-04-2026 17:09:34
7054075,115,filter_not_found,Form Initiated,"[LEAD VIEW] Filter not available/applied for ""Form Initiated""",14-04-2026 17:09:35
7054075,115,filter_not_found,Paid Apps,"[LEAD VIEW] Filter not available/applied for ""Paid Apps""",14-04-2026 17:09:36
7054075,115,filter_not_found,Enrolment Status,"[LEAD VIEW] Filter not available/applied for ""Enrolment Status""",14-04-2026 17:09:37
7054182,116,metrics_not_found,None,"[LEAD VIEW] Metrics cards not found for ""None""",14-04-2026 17:10:56
7054182,116,filter_not_found,Form Initiated,"[LEAD VIEW] Filter not available/applied for ""Form Initiated""",14-04-2026 17:10:57
7054182,116,filter_not_found,Paid Apps,"[LEAD VIEW] Filter not available/applied for ""Paid Apps""",14-04-2026 17:10:58
7054182,116,filter_not_found,Enrolment Status,"[LEAD VIEW] Filter not available/applied for ""Enrolment Status""",14-04-2026 17:10:59
7050982,117,metrics_not_found,None,"[LEAD VIEW] Metrics cards not found for ""None""",14-04-2026 17:12:14
7050982,117,filter_not_found,Form Initiated,"[LEAD VIEW] Filter not available/applied for ""Form Initiated""",14-04-2026 17:12:15
7050982,117,filter_not_found,Paid Apps,"[LEAD VIEW] Filter not available/applied for ""Paid Apps""",14-04-2026 17:12:16
7050982,117,filter_not_found,Enrolment Status,"[LEAD VIEW] Filter not available/applied for ""Enrolment Status""",14-04-2026 17:12:17
7030296,18,filter_not_found,Form Initiated,"[LEAD VIEW] Filter not available/applied for ""Form Initiated""",14-04-2026 17:14:01
7030296,18,filter_not_found,Paid Apps,"[LEAD VIEW] Filter not available/applied for ""Paid Apps""",14-04-2026 17:14:03
7030296,18,filter_not_found,Enrolment Status,"[LEAD VIEW] Filter not available/applied for ""Enrolment Status""",14-04-2026 17:14:04
7034180,119,metrics_not_found,Enrolment Status,"[LEAD VIEW] Metrics cards not found for ""Enrolment Status""",14-04-2026 17:16:30
7042257,19,filter_not_found,Enrolment Status,"[LEAD VIEW] Filter not available/applied for ""Enrolment Status""",14-04-2026 17:16:41
